iter	Passed	Remaining
0	2	213
1	4	196
2	6	194
3	7	181
4	9	182
5	11	182
6	13	180
7	15	177
8	17	173
9	18	168
10	20	163
11	21	160
12	23	158
13	25	154
14	27	154
15	28	151
16	30	148
17	32	146
18	33	143
19	35	141
20	37	139
21	38	137
22	40	134
23	42	133
24	43	131
25	45	130
26	47	128
27	49	126
28	50	123
29	52	121
30	53	119
31	55	118
32	57	116
33	58	114
34	60	112
35	62	110
36	63	108
37	65	106
38	66	104
39	68	103
40	70	101
41	71	98
42	72	96
43	74	94
44	76	93
45	77	91
46	79	89
47	80	87
48	82	85
49	84	84
50	86	83
51	88	81
52	89	79
53	91	78
54	92	75
55	94	74
56	95	72
57	97	70
58	99	68
59	101	67
60	102	65
61	104	63
62	105	62
63	107	60
64	109	58
65	110	57
66	112	55
67	114	53
68	115	52
69	117	50
70	119	48
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	129	38
77	130	36
78	132	35
79	134	33
80	135	31
81	136	30
82	138	28
83	139	26
84	140	24
85	141	23
86	142	21
87	143	19
88	145	17
89	146	16
90	147	14
91	148	12
92	149	11
93	150	9
94	151	7
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
