iter	Passed	Remaining
0	47	47278
1	47	23935
2	48	16136
3	49	12227
4	49	9876
5	50	8335
6	50	7230
7	51	6376
8	52	5730
9	52	5192
10	52	4753
11	54	4489
12	55	4183
13	55	3927
14	56	3691
15	56	3482
16	57	3297
17	57	3135
18	57	2988
19	58	2855
20	58	2736
21	59	2628
22	59	2542
23	60	2468
24	61	2391
25	61	2312
26	62	2240
27	62	2171
28	62	2107
29	63	2048
30	63	1994
31	64	1942
32	64	1894
33	65	1854
34	65	1814
35	66	1781
36	67	1744
37	67	1709
38	68	1675
39	68	1642
40	68	1610
41	69	1581
42	70	1570
43	71	1545
44	71	1519
45	72	1495
46	72	1470
47	72	1446
48	73	1423
49	73	1402
50	74	1380
51	74	1365
52	75	1354
53	76	1337
54	76	1320
55	77	1303
56	77	1288
57	78	1271
58	78	1254
59	79	1239
60	79	1223
61	79	1208
62	80	1194
63	80	1181
64	81	1176
65	82	1163
66	82	1151
67	83	1138
68	83	1126
69	83	1114
70	84	1102
71	84	1092
72	85	1082
73	85	1072
74	86	1062
75	86	1056
76	87	1050
77	88	1040
78	88	1031
79	88	1022
80	89	1013
81	89	1004
82	89	993
83	90	985
84	90	976
85	91	968
86	91	961
87	92	955
88	92	949
89	93	941
90	93	934
91	94	928
92	95	926
93	95	919
94	95	913
95	96	906
96	96	902
97	98	908
98	99	902
99	99	896
100	100	891
101	100	885
102	100	878
103	101	872
104	101	866
105	102	860
106	102	858
107	103	854
108	104	853
109	105	849
110	105	844
111	105	840
112	106	835
113	106	831
114	107	826
115	107	821
116	108	816
117	108	813
118	109	810
119	110	806
120	110	802
121	110	797
122	111	793
123	111	789
124	112	785
125	112	780
126	112	776
127	113	771
128	114	770
129	114	767
130	115	763
131	115	760
132	116	756
133	116	752
134	116	749
135	117	746
136	117	742
137	118	738
138	118	734
139	119	731
140	120	731
141	120	727
142	120	724
143	121	720
144	121	717
145	122	714
146	122	711
147	122	707
148	123	704
149	123	701
150	124	698
151	124	695
152	125	692
153	125	690
154	126	688
155	126	685
156	127	683
157	127	680
158	127	676
159	128	673
160	128	670
161	129	667
162	129	664
163	129	661
164	130	660
165	131	658
166	131	656
167	132	654
168	132	651
169	133	649
170	133	647
171	133	644
172	134	642
173	134	639
174	135	638
175	136	638
176	136	636
177	137	634
178	137	631
179	138	629
180	138	628
181	139	626
182	139	623
183	140	621
184	140	618
185	140	616
186	141	614
187	141	613
188	142	611
189	142	609
190	143	607
191	143	604
192	144	602
193	144	600
194	144	598
195	145	596
196	145	593
197	146	591
198	146	589
199	147	589
200	147	587
201	148	585
202	148	583
203	149	581
204	149	579
205	149	577
206	150	576
207	150	574
208	151	572
209	151	570
210	152	570
211	153	568
212	153	567
213	154	565
214	154	564
215	154	562
216	155	560
217	155	558
218	156	556
219	156	554
220	157	553
221	157	551
222	158	551
223	158	549
224	159	548
225	159	546
226	160	545
227	160	543
228	160	541
229	161	540
230	162	539
231	162	538
232	163	538
233	164	538
234	165	537
235	165	535
236	166	534
237	166	533
238	167	531
239	167	530
240	168	529
241	168	527
242	169	526
243	169	525
244	170	524
245	170	522
246	171	521
247	171	519
248	171	518
249	172	516
250	172	514
251	172	513
252	173	511
253	173	510
254	174	509
255	174	508
256	175	507
257	175	505
258	176	504
259	176	502
260	177	501
261	177	499
262	177	498
263	178	497
264	178	495
265	179	494
266	179	493
267	180	492
268	180	491
269	181	489
270	181	488
271	182	487
272	182	486
273	183	485
274	183	483
275	183	482
276	184	481
277	184	480
278	185	479
279	185	478
280	186	477
281	186	475
282	187	474
283	187	473
284	188	471
285	188	470
286	188	469
287	189	468
288	189	466
289	190	466
290	191	465
291	191	464
292	191	463
293	192	462
294	192	460
295	193	459
296	193	458
297	194	457
298	194	456
299	194	454
300	195	454
301	196	453
302	196	452
303	197	451
304	197	450
305	197	448
306	198	447
307	198	446
308	199	445
309	199	444
310	200	443
311	200	442
312	201	442
313	202	441
314	202	440
315	203	439
316	203	439
317	204	439
318	205	439
319	207	440
320	208	440
321	208	438
322	208	437
323	209	436
324	209	435
325	210	434
326	210	433
327	210	432
328	211	431
329	211	430
330	212	429
331	213	429
332	213	428
333	214	427
334	214	426
335	215	425
336	215	424
337	216	423
338	216	422
339	218	423
340	218	423
341	219	422
342	220	422
343	221	421
344	221	420
345	221	419
346	222	418
347	222	417
348	223	417
349	224	416
350	224	415
351	225	414
352	225	414
353	226	413
